split,fold,topic,num_queries,num_gold_docs,recall@5,recall@20
strict_cv,0,доказательства / почерковедческая экспертиза,23,4,0.6086956521739131,0.9565217391304348
strict_cv,0,досудебный порядок / финансовый уполномоченный,9,2,1.0,1.0
strict_cv,0,инвестиционный доход и денежные расчеты,5,2,0.4,0.6
strict_cv,0,моральный вред / защита прав потребителей,2,1,1.0,1.0
strict_cv,0,назначение и выплата пенсионных накоплений,5,1,1.0,1.0
strict_cv,0,неосновательное обогащение / сопутствующие требования,15,2,0.7333333333333333,0.9333333333333333
strict_cv,0,пенсионные накопления как объект права,3,1,0.3333333333333333,1.0
strict_cv,0,переход в НПФ / недействительность волеизъявления,46,10,0.5434782608695652,0.8913043478260869
strict_cv,0,правопреемство / наследование,2,1,0.5,1.0
strict_cv,0,процессуальные итоги обжалования,12,2,0.5833333333333334,0.8333333333333334
strict_cv,0,процессуальные определения по движению иска,6,2,1.0,1.0
strict_cv,0,процессуальные сроки / исковая давность,26,3,0.7692307692307693,0.9230769230769231
strict_cv,0,судебные расходы,10,3,0.4,0.7
strict_cv,1,доказательства / почерковедческая экспертиза,11,3,0.5454545454545454,0.7272727272727273
strict_cv,1,инвестиционный доход и денежные расчеты,19,4,0.3684210526315789,0.8421052631578947
strict_cv,1,назначение и выплата пенсионных накоплений,21,3,0.7619047619047619,0.8571428571428571
strict_cv,1,неосновательное обогащение / сопутствующие требования,7,1,0.8571428571428571,0.8571428571428571
strict_cv,1,переход в НПФ / недействительность волеизъявления,7,4,0.5714285714285714,0.7142857142857143
strict_cv,1,правопреемство / наследование,25,6,0.32,0.72
strict_cv,1,процессуальные итоги обжалования,3,1,0.6666666666666666,0.6666666666666666
strict_cv,1,процессуальные определения по движению иска,2,1,0.5,0.5
strict_cv,1,процессуальные сроки / исковая давность,6,1,0.0,0.3333333333333333
strict_cv,1,статус застрахованного лица и пенсионные основания,12,2,0.6666666666666666,0.6666666666666666
strict_cv,1,судебные расходы,21,5,0.38095238095238093,0.8095238095238095
strict_cv,2,доказательства / почерковедческая экспертиза,12,3,0.25,0.5833333333333334
strict_cv,2,инвестиционный доход и денежные расчеты,19,4,0.47368421052631576,0.7368421052631579
strict_cv,2,моральный вред / защита прав потребителей,11,3,0.9090909090909091,1.0
strict_cv,2,назначение и выплата пенсионных накоплений,17,2,0.6470588235294118,0.8823529411764706
strict_cv,2,неосновательное обогащение / сопутствующие требования,5,1,0.6,0.6
strict_cv,2,переход в НПФ / недействительность волеизъявления,17,4,0.35294117647058826,0.5882352941176471
strict_cv,2,персональные данные,5,2,0.4,0.6
strict_cv,2,правопреемство / наследование,12,3,0.75,1.0
strict_cv,2,процессуальные итоги обжалования,14,3,0.6428571428571429,0.6428571428571429
strict_cv,2,процессуальные определения по движению иска,17,5,0.7647058823529411,0.9411764705882353
strict_cv,2,процессуальные сроки / исковая давность,7,1,0.14285714285714285,1.0
strict_cv,2,судебные расходы,4,1,0.75,0.75
strict_cv,3,доказательства / почерковедческая экспертиза,9,3,0.3333333333333333,0.5555555555555556
strict_cv,3,инвестиционный доход и денежные расчеты,16,5,0.1875,0.5
strict_cv,3,назначение и выплата пенсионных накоплений,5,1,1.0,1.0
strict_cv,3,переход в НПФ / недействительность волеизъявления,31,8,0.41935483870967744,0.7096774193548387
strict_cv,3,персональные данные,7,1,0.0,0.42857142857142855
strict_cv,3,правопреемство / наследование,8,3,0.625,1.0
strict_cv,3,процессуальные итоги обжалования,7,1,0.42857142857142855,0.5714285714285714
strict_cv,3,процессуальные определения по движению иска,22,8,0.6363636363636364,0.8181818181818182
strict_cv,3,судебные расходы,12,2,0.3333333333333333,0.5833333333333334
strict_holdout,,доказательства / почерковедческая экспертиза,19,4,0.47368421052631576,0.8947368421052632
strict_holdout,,инвестиционный доход и денежные расчеты,25,6,0.12,0.6
strict_holdout,,назначение и выплата пенсионных накоплений,9,2,0.2222222222222222,0.8888888888888888
strict_holdout,,неосновательное обогащение / сопутствующие требования,4,1,0.5,1.0
strict_holdout,,переход в НПФ / недействительность волеизъявления,7,3,0.5714285714285714,0.8571428571428571
strict_holdout,,персональные данные,2,1,0.0,0.0
strict_holdout,,правопреемство / наследование,38,7,0.5526315789473685,0.9210526315789473
strict_holdout,,процессуальные итоги обжалования,1,1,0.0,0.0
strict_holdout,,процессуальные определения по движению иска,22,3,0.13636363636363635,0.4090909090909091
strict_holdout,,процессуальные сроки / исковая давность,9,1,0.2222222222222222,0.5555555555555556
strict_holdout,,судебные расходы,9,1,0.6666666666666666,1.0
